corp_cls,corp_code,corp_name,stock_code,report_nm,rcept_no,flr_nm,rcept_dt,rm
KOSDAQ,00867478,아시아종묘,154030,독립이사의선임ㆍ해임또는중도퇴임에관한신고,20201231000559,아시아종묘,20210104,
KOSPI,00878696,에스케이바이오팜,326030,주요사항보고서(타법인주식및출자증권양도결정),20210104000001,에스케이바이오팜,20210104,정
KOSDAQ,00125725,디모아,016670,주요사항보고서(영업정지),20210104000002,디모아,20210104,
KOSDAQ,00103015,고려제약,014570,임원ㆍ주요주주특정증권등소유상황보고서,20210104000017,박상훈,20210104,
KOSDAQ,00103015,고려제약,014570,주식등의대량보유상황보고서(일반),20210104000020,박상훈,20210104,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20210104000021,미래에셋증권,20210104,
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20210104000023,미래에셋증권,20210104,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20210104000024,삼성증권,20210104,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합증권-주가연계증권),20210104000025,미래에셋증권,20210104,
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20210104000027,미래에셋증권,20210104,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20210104000028,삼성증권,20210104,
KOSPI,00104856,삼성증권,016360,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20210104000034,삼성증권,20210104,
KOSDAQ,00130763,서울반도체,046890,임원ㆍ주요주주특정증권등소유상황보고서,20210104000037,정의영,20210104,
KOSPI,00108913,대교,019680,임원ㆍ주요주주특정증권등소유상황보고서,20210104000038,김연화,20210104,
KOSPI,00104856,삼성증권,016360,투자설명서(일괄신고),20210104000042,삼성증권,20210104,
KOSDAQ,00130763,서울반도체,046890,임원ㆍ주요주주특정증권등소유상황보고서,20210104000048,정경재,20210104,
KOSPI,00113359,교보증권,030610,일괄신고추가서류(파생결합증권-주가연계증권),20210104000049,교보증권,20210104,
KOSDAQ,00130763,서울반도체,046890,임원ㆍ주요주주특정증권등소유상황보고서,20210104000050,이용혁,20210104,
KOSPI,00113359,교보증권,030610,투자설명서(일괄신고),20210104000051,교보증권,20210104,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합증권-주가연계증권),20210104000052,미래에셋증권,20210104,
KOSDAQ,00390365,토비스,051360,임원ㆍ주요주주특정증권등소유상황보고서,20210104000053,배장선,20210104,
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20210104000054,미래에셋증권,20210104,
KOSDAQ,00390365,토비스,051360,임원ㆍ주요주주특정증권등소유상황보고서,20210104000055,한정훈,20210104,
KOSPI,00296290,키움증권,039490,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20210104000060,키움증권,20210104,
KOSDAQ,00406727,세진티에스,067770,주식등의대량보유상황보고서(일반),20210104000061,김인식,20210104,
KOSPI,00113359,교보증권,030610,일괄신고추가서류(파생결합증권-주가연계증권),20210104000062,교보증권,20210104,
KOSDAQ,00406727,세진티에스,067770,임원ㆍ주요주주특정증권등소유상황보고서,20210104000063,김인식,20210104,
KOSPI,00296290,키움증권,039490,투자설명서(일괄신고),20210104000066,키움증권,20210104,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합증권-주가연계증권),20210104000067,미래에셋증권,20210104,
KOSPI,00115694,DB증권,016610,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20210104000068,DB증권,20210104,
KOSPI,00113359,교보증권,030610,투자설명서(일괄신고),20210104000069,교보증권,20210104,
KOSPI,00111722,미래에셋증권,006800,투자설명서(일괄신고),20210104000070,미래에셋증권,20210104,
KOSPI,00113359,교보증권,030610,[기재정정]증권발행실적보고서,20210104000077,교보증권,20210104,
KOSPI,00111722,미래에셋증권,006800,일괄신고추가서류(파생결합증권-주가연계증권),20210104000080,미래에셋증권,20210104,
KOSPI,00115694,DB증권,016610,투자설명서(일괄신고),20210104000082,DB증권,20210104,
